subject_label	subject_label_normalized	object_id	object_label	object_source	predicate_id	confidence	mapping_justification	curator	source_dataset	notes	verified_date
River-Creek	river creek	NCIT:C43963	Creek	NCIT	skos:closeMatch	medium	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='creek'	2026-05-01
Rodentia-Other	rodentia other	NCIT:C17649	Other	NCIT	skos:closeMatch	medium	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='other'	2026-05-01
Root-nodule	root nodule	ENVO:01000164	root nodule	ENVO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	Root nodules occur on the roots of plants that associate with symbiotic nitrogen-fixing bacteria.	2026-05-01
Root-Rhizome	root rhizome	PO:0004542	rhizome	PO	skos:closeMatch	medium	semapv:LexicalMatching	ols4_auto	bacdive	A swollen shoot axis (PO:0025029) that grows horizontally at or below the substrate surface and produces shoots above an	2026-05-01
Root-Tooth	root tooth	NCIT:C33446	Root	NCIT	skos:closeMatch	medium	semapv:LexicalMatching	ols4_auto	bacdive	The part of a tooth below the neck of the tooth which is covered by cementum.	2026-05-01
Rot-Root,Stem	rot root stem	PO:0009047	stem	PO	skos:closeMatch	medium	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='stem'	2026-05-01
Rumen	rumen	UBERON:0007365	rumen	UBERON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	The first compartment of the ruminant stomach. It lies on the left side of the body, occupying the whole of the left sid	2026-05-01
Rumen-fluid	rumen fluid	ENVO:02000140	fluid environmental material	ENVO	skos:closeMatch	medium	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='fluid'	2026-05-01
Saline	saline	ENVO:01001319	saline water body	ENVO	skos:closeMatch	medium	semapv:LexicalMatching	ols4_auto	bacdive	A body of water which is primarily composed of saline water.	2026-05-01
Saliva	saliva	UBERON:0001836	saliva	UBERON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	A fluid produced in the oral cavity by salivary glands, typically used in predigestion, but also in other functions.	2026-05-01
Salmonidae	salmonidae	NCBITaxon:8015	Salmonidae	NCBITaxon	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive		2026-05-01
Salt-marsh	salt marsh	ENVO:01000022	marine salt marsh biome	ENVO	skos:closeMatch	medium	semapv:LexicalMatching	ols4_auto	bacdive	The marine salt marsh biome comprises marshes that are transitional intertidals between land and salty or brackish marin	2026-05-01
Sandy	sandy	ENVO:00000172	sandy desert	ENVO	skos:closeMatch	medium	semapv:LexicalMatching	ols4_auto	bacdive	A desert plain characterized by a surface veneer of sand.	2026-05-01
Seafood	seafood	FOODON:03400803	seafood product (eurofir)	FOODON	skos:closeMatch	medium	semapv:LexicalMatching	ols4_auto	bacdive	Includes fish offal; a food product whose predominant constituent is fish (e.g. dried and salted fish, smoked fish, cann	2026-05-01
Sediment	sediment	ENVO:00002007	sediment	ENVO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	Sediment is typically deposited on the bed or bottom of a body of water or other liquid.	2026-05-01
Semen	semen	UBERON:0001968	semen	UBERON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	Organism substance that is composed of sperm cells suspended in seminal fluid.	2026-05-01
Semiarid	semiarid	FOODON:03520493	semiarid climatic zone	FOODON	skos:closeMatch	medium	semapv:LexicalMatching	ols4_auto	bacdive		2026-05-01
Sewage-sludge	sewage sludge	ENVO:00002044	sludge	ENVO	skos:closeMatch	medium	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='sludge'	2026-05-01
Shrub-Scrub	shrub scrub	ENVO:00000300	scrubland area	ENVO	skos:closeMatch	medium	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='scrub'	2026-05-01
Simulated-communities	simulated communities								bacdive	UNMAPPED — no OLS match in ENVO/UBERON/FOODON/MONDO/NCIT	2026-05-01
Skin,-Nail,-Hair	skin nail hair	UBERON:0001003	skin epidermis	UBERON	skos:closeMatch	medium	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='skin'	2026-05-01
Small-intestine	small intestine	UBERON:0002108	small intestine	UBERON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	Subdivision of digestive tract that connects the stomach to the large intestine and is where much of the digestion and a	2026-05-01
Soil	soil	ENVO:00001998	soil	ENVO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	An environmental material which is primarily composed of minerals, varying proportions of sand, silt, and clay, organic 	2026-05-01
Solid-animal-waste	solid animal waste	ENVO:00002264	Waste	ENVO	skos:closeMatch	medium	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='waste'	2026-05-01
Solid-plant-waste	solid plant waste	ENVO:00002264	Waste	ENVO	skos:closeMatch	medium	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='waste'	2026-05-01
Solid-waste	solid waste	mesh:D062611	Solid Waste	mesh	skos:exactMatch	high	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='solid waste'	2026-05-01
Specimen	specimen							codex_review_fix	bacdive	fix(codex): was 'specimen repository organization' (an org, not a specimen); 'Specimen' as an isolation source has no clean ontology term	2026-05-02
Spinal-Cord	spinal cord	UBERON:0002240	spinal cord	UBERON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	Part of the central nervous system located in the vertebral canal continuous with and caudal to the brain; demarcated fr	2026-05-01
Spleen	spleen	UBERON:0002106	spleen	UBERON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	The organ that functions to filter blood and to store red corpuscles and platelets.	2026-05-01
Spoiled	spoiled	FOODON:00003366	food (spoiled)	FOODON	skos:closeMatch	medium	semapv:LexicalMatching	ols4_auto	bacdive	Food material unsuitable to ingest by a consumer due to spoilage related to the type of material it is, or to packaging 	2026-05-01
Spot-Leaf,Stem	spot leaf stem	PO:0009047	stem	PO	skos:closeMatch	medium	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='stem'	2026-05-01
Spring	spring	ENVO:00000027	spring	ENVO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	Springs are typically where an aquifer surface meets the ground surface or where there is a fissure.	2026-05-01
Sputum	sputum	UBERON:0007311	sputum	UBERON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	Matter ejected from the lungs, bronchi, and trachea, through the mouth.	2026-05-01
Starter-culture	starter culture	FOODON:03544454	44540 - starter cultures (efsa foodex2)	FOODON	skos:closeMatch	medium	semapv:LexicalMatching	ols4_auto	bacdive	The group includes any type of bacteria used as starter cultures, i.e. a microbial preparation based on bacteria used in	2026-05-01
Stem-Branch	stem branch	PO:0009047	stem	PO	skos:exactMatch	high	semapv:ManualMappingCuration	kg_review_promote	bacdive	fix: was ENVO:00000029 (watercourse); stem is the plant part; kg-review-promote: 'Stem-Branch' isolation source = stem (PO:0009047)	2026-05-02
Sterilized-Desinfected	sterilized desinfected								bacdive	UNMAPPED — no OLS match in ENVO/UBERON/FOODON/MONDO/NCIT	2026-05-01
Sterilized-plant-part	sterilized plant part	NCIT:C45313	Part	NCIT	skos:closeMatch	medium	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='part'	2026-05-01
Stomach	stomach	UBERON:0000945	stomach	UBERON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	An expanded region of the vertebrate alimentary tract that serves as a food storage compartment and digestive organ. A s	2026-05-01
Straw	straw	ENVO:00003869	straw	ENVO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	An agricultural byproduct, the dry stalk of a cereal plant, after the nutrient grain or seed has been removed.	2026-05-01
Subarctic	subarctic	FOODON:03520502	subarctic climatic zone	FOODON	skos:closeMatch	medium	semapv:LexicalMatching	ols4_auto	bacdive		2026-05-01
Subgingival-plaque	subgingival plaque	UBERON:0016484	subgingival dental plaque	UBERON	skos:closeMatch	medium	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='subgingival plaque'	2026-05-01
Subtropical	subtropical	ENVO:01000205	subtropical	ENVO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	A subtropical condition is an environmental condition in which an envrionmental system receives more solar irradiance th	2026-05-01
Sugary-food	sugary food	SNOMED:227594001	Sugary food	SNOMED	skos:exactMatch	high	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='sugary food'	2026-05-01
Suidae-Pig,Swine	suidae pig swine	NCBITaxon:9823	Sus scrofa	NCBITaxon	skos:closeMatch	medium	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='swine'	2026-05-01
Sulfuric	sulfuric							manual_review	bacdive	unmapped: was CHEBI:26836 (sulfuric acid); 'sulfuric' here is descriptor, not a chemical	2026-05-02
Surface-swab	surface swab							family_mismatch_fix	bacdive	post-codex-#558: was SNOMED:258537007 (a collection procedure, not a substrate); the swabbed surface is the source, not the swab itself	2026-05-02
Surface-water	surface water	ENVO:00002042	surface water	ENVO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	Water that is found on the surface of an astronomical object.	2026-05-01
Swab	swab							family_mismatch_fix	bacdive	post-codex-#558: was NCIT:C17627 (collection procedure, not substrate)	2026-05-02
Synovial-fluid	synovial fluid	UBERON:0001090	synovial fluid	UBERON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	Joint fluid is a transudate of plasma that is actively secreted by synovial cells.	2026-05-01
Temperate	temperate	ENVO:01000206	temperate	ENVO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	This class' definition is less satisfactory than the other latitudinal conditoins.	2026-05-01
Terrestrial	terrestrial	ENVO:00000446	terrestrial biome	ENVO	skos:closeMatch	medium	semapv:LexicalMatching	ols4_auto	bacdive	A biome which is  primarily or completely situated on a landmass.	2026-05-01
Thermal-spring	thermal spring	ENVO:00000051	hot spring	ENVO	skos:exactMatch	high	semapv:ManualMappingCuration	kg_review_promote	bacdive	fix(codex): was NCIT:C125898 (topical solution); thermal spring = hot spring; kg-review-promote: thermal spring = hot spring	2026-05-02
Thermophilic->45°C	thermophilic >45°c	ENVO:01000305	high temperature environment	ENVO	skos:exactMatch	high	semapv:ManualMappingCuration	family_mismatch_fix	bacdive	fix(family-mismatch): was METPO:1000616 ('thermophilic') — METPO is the *organism trait*, not the isolation-source environment. BacDive 'Thermophilic->45°C' is a categorical thermal-regime label for the environment the microbe was sampled from; ENVO:01000305 'high temperature environment' is the equivalent isolation-source concept (the >45°C threshold is the bin definition, not a different concept).	2026-05-05
Thoracic-segment	thoracic segment	UBERON:0000915	thoracic segment of trunk	UBERON	skos:exactMatch	high	semapv:ManualMappingCuration	family_mismatch_fix	bacdive	fix(family-mismatch): was UBERON:0003827 'thoracic segment bone' (only bone tissue); UBERON:0000915 is the body region (synonym 'thorax')	2026-05-02
Throat	throat	UBERON:0000341	throat	UBERON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	In anatomy, the throat is the anterior part of the neck, in front of the vertebral column. It consists of the pharynx an	2026-05-01
Tick	tick	NCBITaxon:6939	Ixodida	NCBITaxon	skos:exactMatch	high	semapv:ManualMappingCuration	kg_review_promote	bacdive	fix(codex-v2): was MONDO:0025294 (tick-borne disease); ticks are Ixodida (NCBITaxon); kg-review-promote: 'Tick' is the common name for order Ixodida	2026-05-02
Tidal-flat	tidal flat	ENVO:00000241	tidal mudflat	ENVO	skos:closeMatch	medium	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='tidal flat'	2026-05-01
Timber	timber								bacdive	UNMAPPED — no OLS match in ENVO/UBERON/FOODON/MONDO/NCIT	2026-05-01
Tooth	tooth	UBERON:0001091	calcareous tooth	UBERON	skos:exactMatch	high	semapv:ManualMappingCuration	kg_review_promote	bacdive	fix(codex): was 'tooth placode' (a developmental structure); calcareous tooth is the formal mammalian tooth class; kg-review-promote: 'Tooth' (vertebrate isolation source) = calcareous tooth (UBERON's vertebrate tooth term)	2026-05-02
Torso	torso	UBERON:0002100	trunk	UBERON	skos:closeMatch	medium	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='torso'	2026-05-01
Trachea	trachea	UBERON:0003126	trachea	UBERON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	The trachea is the portion of the airway that attaches to the bronchi as it branches [GO:dph].	2026-05-01
Tracheal-aspirate	tracheal aspirate	NCIT:C171504	Endotracheal Fluid	NCIT	skos:closeMatch	medium	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='tracheal aspirate'	2026-05-01
Transportation-ways-Roads	transportation ways roads								bacdive	UNMAPPED — no OLS match in ENVO/UBERON/FOODON/MONDO/NCIT	2026-05-01
Treatment	treatment							kg_review_lit_check	bacdive	lit-audit: was AGRO:00000322 (Agronomy crop treatment); BacDive 'Treatment' is clinical/medical, no good ontology term — unmapped	2026-05-02
Tree	tree							codex_review_fix	bacdive	fix(codex): was 'tree line ecotone' (an ecotone); 'Tree' as isolation source has no clean ontology term — unmapped	2026-05-02
Tropical	tropical	ENVO:01000204	tropical	ENVO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	A tropical condition is an environmental condition in which an environmental system receives high yearly solar irradianc	2026-05-01
Tuberculosis	tuberculosis							codex_review_fix_v2	bacdive	fix(codex-v2): was MONDO:0018076 (disease); TB context isn't the isolation source — actual sources are lung/sputum from TB patients	2026-05-02
Tundra	tundra	ENVO:00000112	tundra	ENVO	skos:exactMatch	high	semapv:ManualMappingCuration	codex_review_fix	bacdive	fix(codex): was 'tundra mire' (a specific subtype); tundra is ENVO:00000112	2026-05-02
Tunicata	tunicata	NCBITaxon:7712	Tunicata	NCBITaxon	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive		2026-05-01
Urethra	urethra	UBERON:0000057	urethra	UBERON	skos:exactMatch	high	semapv:ManualMappingCuration	manual_review	bacdive	fix: was UBERON:0001338 (urethral gland)	2026-05-02
Urine	urine	UBERON:0001088	urine	UBERON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	Excretion that is the output of a kidney.	2026-05-01
Urogenital-tract	urogenital tract	UBERON:0004122	genitourinary system	UBERON	skos:exactMatch	high	semapv:ManualMappingCuration	kg_review_promote	bacdive	fix(codex): was MONDO:0019356 (urogenital tract malformation, a disease); kg-review-promote: urogenital tract = genitourinary system	2026-05-02
Vagina	vagina	UBERON:0000996	vagina	UBERON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	A fibromuscular tubular tract leading from the uterus to the exterior of the body in female placental mammals and marsup	2026-05-01
Vaginal-secretion	vaginal secretion	UBERON:0036243	vaginal fluid	UBERON	skos:closeMatch	medium	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='vaginal secretion'	2026-05-01
Vascular-system	vascular system	UBERON:0007798	vascular system	UBERON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	Anatomical system that consists of all blood and lymph vessels.	2026-05-01
Vegetable-incl.-Grains	vegetable incl. grains								bacdive	UNMAPPED — no OLS match in ENVO/UBERON/FOODON/MONDO/NCIT	2026-05-01
Vineyard	vineyard	ENVO:00000116	vineyard	ENVO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	A place where grapes are grown for making wine, raisins or table grapes.	2026-05-01
Viriome	viriome	mesh:D000083422	Virome	mesh	skos:exactMatch	high	semapv:ManualMappingCuration	kg_review_promote	bacdive	spelling variant of 'virome'; kg-review-promote: 'Viriome' = Virome (the totality of viruses in a sample)	2026-05-02
Volcanic	volcanic	ENVO:00000094	volcanic feature	ENVO	skos:exactMatch	high	semapv:ManualMappingCuration	kg_review_promote	bacdive	fix(family-mismatch): was ENVO:00000354 'volcanic field' (a specific subtype); ENVO:00000094 'volcanic feature' (synonym 'volcanic landform') is the parent class; kg-review-promote: 'Volcanic' isolation source = volcanic feature	2026-05-02
Vomit	vomit	UBERON:0000172	vomit	UBERON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	A bodily fluid consisting of the expulsed contents of the stomach disgorged through the mouth or nose that happens as a 	2026-05-01
Waste	waste							codex_review_fix	bacdive	fix(codex): was 'waste stabilization pond' (a facility); 'Waste' alone is too generic	2026-05-02
Waste-gas	waste gas	ENVO:01001155	astrogeological gas	ENVO	skos:closeMatch	medium	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='gas'	2026-05-01
Wastewater	wastewater	ENVO:00002001	waste water	ENVO	skos:exactMatch	high	semapv:ManualMappingCuration	codex_review_fix	bacdive	fix(codex): was ENVO:00002043 (wastewater treatment *plant*); the substance is ENVO:00002001	2026-05-02
Water-reservoir-Aquarium/pool	water reservoir aquarium/pool	ENVO:00000025	reservoir	ENVO	skos:exactMatch	high	semapv:ManualMappingCuration	kg_review_promote	bacdive	fix: was ENVO:03600094 (stream pool); kg-review-promote: water reservoir / aquarium / pool all resolve to ENVO 'reservoir'	2026-05-02
Water-treatment-plant	water treatment plant	ENVO:03600004	drinking water treatment plant	ENVO	skos:closeMatch	medium	semapv:LexicalMatching	ols4_auto	bacdive	An industrial building in which water undergoes a purification process to make it fit for human consumption.	2026-05-01
Wetland-Swamp	wetland swamp	ENVO:00000233	swamp ecosystem	ENVO	skos:closeMatch	medium	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='swamp'	2026-05-01
Wilt	wilt							manual_review	bacdive	unmapped: was ENVO:06105303 (wilting point - soil moisture); plant-disease wilt has no clean ontology term	2026-05-02
Wound	wound	mesh:D014947	Wounds and Injuries	mesh	skos:exactMatch	high	semapv:ManualMappingCuration	kg_review_promote	bacdive	fix: UBERON:0006988 does not exist; UBERON has no 'wound' term. mesh:D014947 'Wounds and Injuries' is the closest standard cross-domain term; kg-review-promote: 'Wound' = Wounds and Injuries (mesh's canonical term)	2026-05-02
Wound-fluid	wound fluid	BTO:0003114	wound fluid	BTO	skos:exactMatch	high	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='wound fluid'	2026-05-01
Xerophilic	xerophilic								bacdive	UNMAPPED — no OLS match in ENVO/UBERON/FOODON/MONDO/NCIT	2026-05-01
Xerophytic	xerophytic								bacdive	UNMAPPED — no OLS match in ENVO/UBERON/FOODON/MONDO/NCIT	2026-05-01
Yeast	yeast	FOODON:03411345	yeast	FOODON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	Yeasts are eukaryotic micro-organisms classified in the kingdom *Fungi*, with 1,500 species currently described estimate	2026-05-01
Zebrafish	zebrafish	NCBITaxon:7955	Danio rerio	NCBITaxon	skos:exactMatch	high	semapv:ManualMappingCuration	kg_review_lit_check	bacdive	lit-audit: was FOODON:03000002 (food); zebrafish as isolation source = host taxon	2026-05-02
Zooplankton	zooplankton	mesh:D015048	Zooplankton	mesh	skos:exactMatch	high	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='zooplankton'	2026-05-01
food_fermented	food fermented								bacdive	UNMAPPED — no OLS match in ENVO/UBERON/FOODON/MONDO/NCIT	2026-05-01
host_animal_ectotherm	host animal ectotherm								bacdive	UNMAPPED — no OLS match in ENVO/UBERON/FOODON/MONDO/NCIT	2026-05-01
host_animal_endotherm	host animal endotherm								bacdive	UNMAPPED — no OLS match in ENVO/UBERON/FOODON/MONDO/NCIT	2026-05-01
host_animal_endotherm_intratissue	host animal endotherm intratissue								bacdive	UNMAPPED — no OLS match in ENVO/UBERON/FOODON/MONDO/NCIT	2026-05-01
host_animal_endotherm_rumen	host animal endotherm rumen	UBERON:0007365	rumen	UBERON	skos:closeMatch	medium	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='rumen'	2026-05-01
